Model,Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
C1,b0,0.7223565107715594,4.024032693698837e-5,0.0019104562683390372,0.7186288097507746,0.7210750146852574,0.7223835866437257,0.7236216671043693,0.7262677637717715,2253.985929334414,1.001403718498209
C1,sigma,0.08927782682404137,1.66650423785144e-5,0.0010231242920754934,0.0873222978714441,0.0885332532254956,0.08930884004254425,0.08999543636064933,0.09127209407485974,3769.1545686999852,0.9988697312105029
C1,lp__,3985.6506710432436,0.08515137820894125,2.412406250330534,3980.0818239697646,3984.315382648766,3985.950399326882,3987.45123321595,3989.3353094552785,802.6339522028734,1.0015297941650414
C2,b0,0.06369502846727373,1.2375302095069804e-4,0.007421678819124705,0.04953747403138943,0.058596600908456614,0.06373149441514184,0.06867415335889904,0.07791712895055311,3596.6045804667747,0.9986232379698594
C2,sigma,0.1877918924283496,6.883373581397291e-5,0.004791402166081678,0.1785775583349093,0.18442013572717664,0.18782771562689063,0.19106880642676777,0.19793471197803836,4845.321159502705,0.9987827900359822
C2,lp__,177.17043074555232,0.07466902279615042,2.2494228395671954,172.01777070522584,175.8374534164717,177.42807154631623,178.8271798779968,180.71848929076563,907.5305750623374,1.0002844212600468
PZ,b0,-1.7406069220427927,0.004105397002282364,0.18501787652238497,-2.1111710045643997,-1.8620392095432456,-1.7348183294807509,-1.620726553488594,-1.3778985732756546,2031.033387309683,1.0011141940237571
PZ,bd15,-0.42017879720211393,0.008986136861564895,0.40975836108578667,-1.2115161383285078,-0.7099569057761206,-0.4116023310232819,-0.14079323462920032,0.37255364326974094,2079.2637909263854,0.999241401745622
PZ,bd30,-0.5331778910210028,0.00824558559326412,0.34567790413798793,-1.2261710220952204,-0.7639226291865737,-0.5201607222828767,-0.3039094107962743,0.13395633342782245,1757.5198219516485,1.001340575460345
PZ,lp__,-177.07370915844893,0.07970729011111999,2.386743077264545,-182.6963129423532,-178.43350040617372,-176.76625375633006,-175.32873755796723,-173.36120667586096,896.634106442468,1.0018090888387485
PC1,b0,2.364384785155698,0.0018636630271264352,0.08690843171592776,2.197383199266799,2.306641016039552,2.3643509944143974,2.4194358827242706,2.546537274110651,2174.648388005039,0.9990765265811634
PC1,bd15,-0.7578928644963239,0.0021351775805413245,0.10690708410846146,-0.967221174351128,-0.8286456637857409,-0.7570819127419178,-0.6842801490905344,-0.5472652876129487,2506.9459305663154,0.9991714076026277
PC1,bd30,-0.5740442962918548,0.0026659279186471547,0.11552517658036346,-0.8050131490980974,-0.6498768944301265,-0.5714731931624066,-0.49679944298468126,-0.3530127158036033,1877.8308796309896,0.9992163978298709
PC1,lp__,-1936.8401041923173,0.08059326225389582,2.423939949220885,-1942.513140242939,-1938.2977577861006,-1936.4778067768184,-1935.0632174621064,-1933.037748646348,904.5784595290661,1.002313864112404
